step,event_index,event_type,amm,trade_side,amount_x,amount_y,fair_price,edge,submission_spot,internal_price_estimate,bid_fee_bps,ask_fee_bps,probable_arb
30,1,arb,normalizer,buy,0.016329189883302033,1.6325479643601284,99.9609806902627,0.0,100.15998328023976,100.03603296480593,18.853163788249763,12.868023262609983,True
31,0,arb,submission,buy,0.005895336561282245,0.5893288706574822,99.9593766071862,-3.470310215625272e-05,100.14818762562643,100.03847310895421,19.710276077438394,13.723429543261098,False
31,1,arb,normalizer,buy,0.0008037273491034535,0.08034072939881298,99.9593766071862,0.0,100.14818762562643,100.03847310895421,19.710276077438394,13.723429543261098,False
32,0,arb,submission,buy,0.007741371434298517,0.7736963911538624,99.93533851370407,-5.981630692131201e-05,100.1327028354307,100.04084010564793,20.562645933672734,14.573659904262417,False
32,1,arb,normalizer,buy,0.012046627291656916,1.204028556610865,99.93533851370407,0.0,100.1327028354307,100.04084010564793,20.562645933672734,14.573659904262417,False
32,2,retail,submission,sell,0.04822110906034993,4.837891592856168,99.93533851370407,0.018898735403855227,100.22940707811556,100.0414523779096,20.08320258290097,14.105726642652826,False
33,0,arb,submission,buy,0.13221634878172553,13.2079041358611,99.76435864217486,-0.01742489764215449,99.96512061903647,99.90149233946757,22.022959390936105,16.030599880195663,True
33,1,arb,normalizer,buy,0.08581169780558179,8.568281891601146,99.76435864217486,0.0,99.96512061903647,99.90149233946757,22.022959390936105,16.030599880195663,True
33,2,retail,submission,sell,0.014118440789090414,1.4138173246357069,99.76435864217486,0.005300134284580649,99.9461792288477,99.90202936750929,21.757181564666862,12.455683319908497,False
33,3,retail,submission,buy,0.02364614824708219,2.358830484059581,99.76435864217486,0.00021233016836097462,99.9461792288477,99.90202936750929,21.757181564666862,12.455683319908497,False
33,4,retail,normalizer,buy,0.016341579275431877,1.6300415145069564,99.76435864217486,0.0,99.9461792288477,99.90202936750929,21.757181564666862,12.455683319908497,False
34,0,arb,submission,buy,0.00619502927711766,0.6177841897570033,99.71639940972189,-3.8176005018097925e-05,99.93382725211951,99.90302423575993,22.9225279585064,10.926227338211024,False
34,1,arb,normalizer,buy,0.007767917376212377,0.7746487501535739,99.71639940972189,0.0,99.93382725211951,99.90302423575993,22.9225279585064,10.926227338211024,False
34,2,retail,submission,sell,0.16330613288553764,16.364372950452317,99.71639940972189,0.08007337758092703,100.3116339164673,99.90353685942178,19.578496577569034,13.621377519224842,False
34,3,retail,normalizer,sell,0.026494328977847204,2.6585466452293787,99.71639940972189,0.0,100.3116339164673,99.90353685942178,19.578496577569034,13.621377519224842,False
34,4,retail,submission,sell,0.025250388298928783,2.534959780917585,99.71639940972189,0.017081976051034342,100.3116339164673,99.90353685942178,19.578496577569034,13.621377519224842,False
34,5,retail,normalizer,sell,0.02374954094683801,2.3843217403390136,99.71639940972189,0.0,100.3116339164673,99.90353685942178,19.578496577569034,13.621377519224842,False
35,0,arb,submission,buy,0.1664192150369199,16.633429416277068,99.78298073759346,-0.027624087882664128,99.9787240482543,99.86258744849236,18.946415190943053,12.96036264942104,True
35,1,arb,normalizer,buy,0.016928764693430305,1.6894878713555954,99.78298073759346,0.0,99.9787240482543,99.86258744849236,18.946415190943053,12.96036264942104,True
35,2,retail,submission,sell,0.03660963746358448,3.666276797649923,99.78298073759346,0.013258047810793094,100.05196016776245,99.86327765084262,19.032741484946328,13.055392986930308,False
36,0,arb,submission,buy,0.022036894873966355,2.2001540750388813,99.81760794956308,-0.00048394208357116497,100.00795049638678,99.8945725449757,20.940167284888986,14.95377927333449,True
36,1,retail,submission,sell,0.24377308599852654,24.475424370803687,99.81760794956308,0.1425780439476405,100.49734366944399,99.89523983078814,19.966548547860455,14.038659460726267,False
36,2,retail,normalizer,sell,0.13091668772780451,13.159225788194107,99.81760794956308,0.0,100.49734366944399,99.89523983078814,19.966548547860455,14.038659460726267,False
37,0,arb,submission,buy,0.25208713559570095,25.21989731009853,99.79267885731696,-0.06344674353583102,99.9923290265091,99.87422688509713,21.791962218489918,15.806143937792374,True
37,1,arb,normalizer,buy,0.1264387730383336,12.633597117248428,99.79267885731696,0.0,99.9923290265091,99.87422688509713,21.791962218489918,15.806143937792374,True
38,0,arb,submission,buy,0.009539201807814356,0.9516778048673586,99.7554356748064,-9.057253893662853e-05,99.97329710614592,99.87687831378233,22.4959212913701,16.507500220494702,False
38,1,arb,normalizer,buy,0.01871297211757274,1.8670691191582591,99.7554356748064,0.0,99.97329710614592,99.87687831378233,22.4959212913701,16.507500220494702,False
38,2,retail,submission,buy,0.011795370380372377,1.1764308651054307,99.7554356748064,0.00022144613432284466,99.949773014454,99.87756416146065,21.956492233795114,15.965164783288758,False
38,3,retail,normalizer,buy,0.015337109205557553,1.5297260338647902,99.7554356748064,0.0,99.949773014454,99.87756416146065,21.956492233795114,15.965164783288758,False
40,0,arb,submission,buy,0.030213970491298484,3.0123409750558494,99.67022798737001,-0.0009076477844596198,99.889550401132,99.76106946670565,24.050909185094017,18.06635387756867,True
40,1,arb,normalizer,buy,0.02751524419017262,2.7432030838263017,99.67022798737001,0.0,99.889550401132,99.76106946670565,24.050909185094017,18.06635387756867,True
40,2,retail,submission,buy,0.054755472169418305,5.453367663376412,99.67022798737001,0.004122731305604255,99.64974234707009,99.76341359548756,22.523919070783542,18.622339836687797,False
40,3,retail,normalizer,buy,0.06530174430684002,6.504405627503729,99.67022798737001,0.0,99.64974234707009,99.76341359548756,22.523919070783542,18.622339836687797,False
40,4,retail,submission,buy,0.09954378037519196,9.898263399896678,99.67022798737001,0.023287884823393057,99.64974234707009,99.76341359548756,22.523919070783542,18.622339836687797,False
40,5,retail,normalizer,buy,0.10243439005671731,10.185985464624537,99.67022798737001,0.0,99.64974234707009,99.76341359548756,22.523919070783542,18.622339836687797,False
40,6,retail,submission,sell,0.03360284625630072,3.3526297162261383,99.67022798737001,0.003426368836102256,99.64974234707009,99.76341359548756,22.523919070783542,18.622339836687797,False
41,0,retail,submission,buy,0.09310267329543678,9.248184630283504,99.77042467088437,0.0407086223968296,99.46518839226825,99.62384253899003,23.446784202943814,15.622339836687797,True
41,1,retail,normalizer,buy,0.04889038004521978,4.8542984397026885,99.77042467088437,0.0,99.46518839226825,99.62384253899003,23.446784202943814,15.622339836687797,True
42,0,arb,submission,sell,0.08879592890868082,8.853763930086961,99.79749882275844,-0.007847680642855792,99.6415917786124,99.70387155109172,22.384829985821113,16.377331874178452,True
42,1,retail,submission,buy,0.36003151625227214,35.66591847464042,99.79749882275844,0.26432634470164373,98.93082491013722,99.70306049878879,21.012885769839524,14.919580168484135,False
42,2,retail,normalizer,buy,0.2704391436888133,26.766688479319782,99.79749882275844,0.0,98.93082491013722,99.70306049878879,21.012885769839524,14.919580168484135,False
43,0,arb,submission,sell,0.28186387864185747,28.005204915428628,99.6365310168946,-0.07873417141301786,99.48787749567296,99.56357387750819,22.816389991616315,16.80726313948078,True
43,1,arb,normalizer,sell,0.16769488666460575,16.680656963946973,99.6365310168946,0.0,99.48787749567296,99.56357387750819,22.816389991616315,16.80726313948078,True
44,0,arb,submission,sell,0.07626379196067035,7.605882136214219,99.80715628048948,-0.005790066547143979,99.63940776660851,99.70306049878879,24.53794517529727,18.53028165238808,True
44,1,arb,normalizer,sell,0.08579866106529721,8.5559975329927,99.80715628048948,0.0,99.63940776660851,99.70306049878879,24.53794517529727,18.53028165238808,True
45,0,arb,submission,sell,0.018692808518522952,1.8663463603281187,99.86164820811699,-0.00034830797031282223,99.67660176136019,99.7583674446154,26.05898644949064,20.04914676888729,True
45,1,arb,normalizer,sell,0.027354846595287086,2.730954656624511,99.86164820811699,0.0,99.67660176136019,99.7583674446154,26.05898644949064,20.04914676888729,True
46,0,arb,submission,sell,0.014219405545702557,1.420391026709465,99.90521017802705,-0.0002016729405522888,99.70490875584348,99.79458703502586,27.424040507416336,21.41325211573722,True
46,1,arb,normalizer,sell,0.021851929093529066,2.1826455604505894,99.90521017802705,0.0,99.70490875584348,99.79458703502586,27.424040507416336,21.41325211573722,True
46,2,retail,submission,sell,0.08427045731161797,8.427299900304495,99.90521017802705,0.008242150788845493,99.87291622454345,99.79362883671,28.86539973165067,18.41325211573722,False
46,3,retail,normalizer,sell,0.09115472233995092,9.115124154544175,99.90521017802705,0.0,99.87291622454345,99.79362883671,28.86539973165067,18.41325211573722,False
47,0,retail,submission,buy,0.06333562502716027,6.303276558899597,99.81547889023129,0.018599183998523117,99.74697055454524,99.65401550847189,30.252608598964372,18.263796713676378,True
47,1,retail,normalizer,buy,0.014418217736871922,1.43422811511482,99.81547889023129,0.0,99.74697055454524,99.65401550847189,30.252608598964372,18.263796713676378,True
48,0,arb,submission,sell,0.012191731184131527,1.2184617176935535,99.95381959097979,-0.00014838158685148706,99.77126596680326,99.79362883671001,31.73779575007662,19.73510635483859,True
48,1,retail,submission,sell,0.2428099437144624,24.332373019161285,99.95381959097979,0.06259171022995247,100.25698696924461,99.79297018927056,28.73779575007662,22.73510635483859,False
48,2,retail,normalizer,sell,0.1979052185627097,19.841318321771606,99.95381959097979,0.0,100.25698696924461,99.79297018927056,28.73779575007662,22.73510635483859,False
51,0,retail,submission,sell,0.05767432130437555,5.79877835106384,100.19671398514092,0.020000875042202715,100.26399550563018,99.7898863017123,28.696023828486652,22.73510635483859,False
51,1,retail,normalizer,sell,0.07271457056053521,7.309878813580381,100.19671398514092,0.0,100.26399550563018,99.7898863017123,28.696023828486652,22.73510635483859,False
51,2,retail,submission,buy,0.05432351788757273,5.4356234732968005,100.19671398514092,0.007414511151011105,100.26399550563018,99.7898863017123,28.696023828486652,22.73510635483859,False
52,0,retail,submission,sell,0.009451416514536959,0.9498860507082514,100.2171072035316,0.002692428645671985,100.20274981447793,99.78691895171924,26.037674930309073,19.936912673336824,False
52,1,retail,submission,buy,0.04007034255906269,4.006444042637668,100.2171072035316,0.009289773286152325,100.20274981447793,99.78691895171924,26.037674930309073,19.936912673336824,False
52,2,retail,normalizer,buy,0.02686504045375527,2.685753932419175,100.2171072035316,0.0,100.20274981447793,99.78691895171924,26.037674930309073,19.936912673336824,False
53,0,retail,submission,sell,0.06078313644265165,6.1065200172399825,100.09681750002837,0.022321501660556464,100.32479736573175,99.78465049730994,23.037674930309073,21.350126720536416,False
54,0,retail,submission,buy,0.08777685286146163,8.77820759345741,100.14701855631931,0.012382518874698434,100.14902538805632,99.92444684261449,26.037674930309073,18.350126720536416,True
54,1,retail,normalizer,buy,0.013515730538901122,1.3506510924544273,100.14701855631931,0.0,100.14902538805632,99.92444684261449,26.037674930309073,18.350126720536416,True
55,0,retail,submission,buy,0.1042198365545293,10.399520000524717,100.22188389555184,0.04558835825670826,99.94098821650832,99.78713403766707,24.886329080750844,18.90481671409219,True
55,1,retail,normalizer,buy,0.11930733559394685,11.906808208703296,100.22188389555184,0.0,99.94098821650832,99.78713403766707,24.886329080750844,18.90481671409219,True
56,0,arb,submission,sell,0.041149423560625564,4.121999091590404,100.2127152930151,-0.0016963761622523776,100.02326499151148,99.92693386236313,26.279048826219718,20.290611440874827,True
